N,V,T,Inst.,k,Integer,Cost,SR,t1,t2
9,1,3,1,0,,1.989888,90.466011,,
9,1,3,1,1,0.0,,,0.0,0.0
9,1,3,1,2,0.0,,,0.0,0.0
9,1,3,1,3,0.0,,,0.016,0.0
9,1,3,1,4,0.0,,,0.0,0.0
9,1,3,1,5,0.0,,,0.0,0.0
9,1,3,1,6,0.0,,,0.016,0.0
9,1,3,1,7,0.0,,,0.0,0.0
9,1,3,1,8,0.0,,,0.0,0.0
9,1,3,1,9,0.0,,,0.016,0.0
9,1,3,1,10,0.0,1.509924,92.578293,0.0,0.0
9,1,3,1,11,0.0,,,0.015,0.0
9,1,3,1,12,0.0,,,0.0,0.0
9,1,3,1,13,0.0,,,0.015,0.0
9,1,3,1,14,0.0,,,0.0,0.0
9,1,3,1,15,0.0,,,0.004,0.001
9,1,3,1,16,0.0,,,0.0,0.0
9,1,3,1,17,0.0,,,0.003,0.0
9,1,3,1,18,0.0,,,0.0,0.0
9,1,3,1,19,0.0,,,0.0,0.016
9,1,3,1,20,0.0,1.691686,92.317276,0.0,0.0
9,1,3,1,21,0.0,,,0.0,0.0
9,1,3,1,22,0.0,,,0.0,0.0
9,1,3,1,23,0.0,,,0.0,0.0
9,1,3,1,24,0.0,,,0.0,0.0
9,1,3,1,25,0.0,,,0.0,0.0
9,1,3,1,26,0.0,,,0.0,0.0
9,1,3,1,27,0.0,,,0.0,0.0
9,1,3,1,28,0.0,,,0.0,0.0
9,1,3,1,29,0.0,,,0.0,0.0
9,1,3,1,30,0.0,,,0.0,0.0
9,1,3,1,31,0.0,,,0.0,0.0
9,1,3,1,32,0.0,,,0.0,0.0
9,1,3,1,33,0.0,,,0.015,0.0
9,1,3,1,34,0.0,,,0.0,0.0
9,1,3,1,35,0.0,,,0.0,0.0
9,1,3,1,36,0.0,,,0.015,0.0
9,1,3,1,37,0.0,,,0.0,0.0
9,1,3,1,38,0.0,,,0.0,0.0
9,1,3,1,39,0.0,,,0.0,0.0
9,1,3,1,40,0.0,,,0.0,0.0
9,1,3,1,41,0.0,,,0.0,0.0
9,1,3,1,42,0.0,,,0.0,0.0
9,1,3,1,43,0.0,,,0.0,0.0
9,1,3,1,44,0.0,,,0.0,0.0
9,1,3,1,45,0.0,,,0.0,0.0
9,1,3,1,46,0.0,,,0.0,0.0
9,1,3,1,47,0.0,,,0.0,0.0
9,1,3,1,48,0.0,,,0.0,0.0
9,1,3,1,49,0.0,,,0.0,0.0
9,1,3,1,50,0.0,1.517988,93.171148,0.0,0.0
9,1,3,1,51,exact,1.597653,92.654424,0.031,
