unique_id,station_id,update,available_bikes,empty_docks,capacity
0,Station_7,2022-01-04 13:13:00,7,5,20
1,Station_3,2022-01-17 03:47:00,11,3,20
2,Station_4,2022-01-05 21:48:00,5,15,20
3,Station_1,2022-01-05 22:40:00,4,11,20
4,Station_2,2022-01-21 18:26:00,16,17,20
5,Station_6,2022-01-06 14:06:00,19,10,20
6,Station_7,2022-01-18 20:27:00,1,8,20
7,Station_1,2022-01-14 02:48:00,18,18,20
8,Station_1,2022-01-03 22:54:00,9,17,20
9,Station_9,2022-01-28 14:27:00,3,14,20
10,Station_6,2022-01-11 15:59:00,17,16,20
11,Station_8,2022-01-17 15:41:00,3,16,20
12,Station_9,2022-01-21 06:20:00,0,2,20
13,Station_1,2022-01-07 10:29:00,9,4,20
14,Station_5,2022-01-19 07:29:00,0,15,20
15,Station_4,2022-01-19 21:06:00,9,19,20
16,Station_7,2022-01-28 01:58:00,15,8,20
17,Station_3,2022-01-23 04:45:00,13,11,20
18,Station_9,2022-01-02 08:57:00,11,6,20
19,Station_8,2022-01-24 13:18:00,17,15,20
20,Station_2,2022-01-04 04:37:00,9,0,20
21,Station_1,2022-01-14 15:58:00,18,12,20
22,Station_9,2022-01-09 14:02:00,5,13,20
23,Station_8,2022-01-01 18:51:00,14,6,20
24,Station_2,2022-01-16 21:18:00,9,14,20
25,Station_1,2022-01-25 21:36:00,16,1,20
26,Station_10,2022-01-22 18:59:00,17,7,20
27,Station_10,2022-01-24 15:18:00,2,17,20
28,Station_4,2022-01-20 20:13:00,13,4,20
29,Station_4,2022-01-23 15:03:00,1,16,20
30,Station_4,2022-01-27 12:34:00,13,2,20
31,Station_6,2022-01-11 09:28:00,11,10,20
32,Station_10,2022-01-06 01:19:00,17,0,20
33,Station_2,2022-01-20 14:01:00,4,13,20
34,Station_4,2022-01-20 21:03:00,1,9,20
35,Station_5,2022-01-10 20:21:00,2,9,20
36,Station_10,2022-01-18 12:16:00,18,18,20
37,Station_7,2022-01-22 17:56:00,4,19,20
38,Station_3,2022-01-06 13:04:00,16,15,20
39,Station_10,2022-01-05 07:08:00,13,10,20
40,Station_9,2022-01-25 21:19:00,13,8,20
41,Station_10,2022-01-07 10:25:00,9,13,20
42,Station_10,2022-01-25 15:46:00,19,17,20
43,Station_1,2022-01-26 19:21:00,1,8,20
44,Station_8,2022-01-13 07:12:00,10,2,20
45,Station_9,2022-01-01 05:00:00,6,2,20
46,Station_8,2022-01-11 04:55:00,16,1,20
47,Station_1,2022-01-06 20:40:00,11,12,20
48,Station_2,2022-01-06 00:48:00,0,10,20
49,Station_5,2022-01-20 18:51:00,12,12,20
50,Station_6,2022-01-20 16:41:00,13,2,20
51,Station_4,2022-01-27 23:54:00,17,4,20
52,Station_8,2022-01-28 08:04:00,15,0,20
53,Station_3,2022-01-06 04:38:00,3,10,20
54,Station_9,2022-01-22 06:16:00,1,10,20
55,Station_10,2022-01-16 19:40:00,13,6,20
56,Station_4,2022-01-21 11:50:00,14,2,20
57,Station_5,2022-01-09 12:03:00,14,6,20
